Order Date,Ship Date,Ship Mode,Segment,Country,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,order_day_index,ship_delay_days
2015-12-15,2015-12-16,Same Day,Consumer,United States,South Carolina,South,Furniture,Furnishings,0.836,5,0.0,154.273,711,1
2016-11-08,2016-11-09,Same Day,Corporate,United States,Pennsylvania,East,Office Supplies,Paper,29.8202,2,0.0,208.794,1040,1
2015-04-28,2015-05-01,Standard Class,Consumer,United States,California,West,Office Supplies,Labels,80.4194,2,0.0,10.4108,480,3
2015-01-16,2015-01-18,Second Class,Consumer,United States,Washington,West,Furniture,Bookcases,89.4947,3,0.0,33.9006,378,2
2015-02-15,2015-02-21,Standard Class,Consumer,United States,Kansas,Central,Office Supplies,Paper,178.149,1,0.0,295.2838,408,6
2015-12-17,2015-12-17,Same Day,Corporate,United States,Illinois,Central,Furniture,Chairs,11.6618,6,0.0,141.7358,713,0
2016-11-30,2016-12-05,Second Class,Consumer,United States,Florida,South,Office Supplies,Binders,83.8667,3,0.0,-7.7503,1062,5
2014-12-05,2014-12-10,Second Class,Consumer,United States,Texas,Central,Technology,Accessories,68.2226,3,0.0,105.157,336,5
2014-10-09,2014-10-15,Standard Class,Consumer,United States,New York,East,Office Supplies,Supplies,43.2586,2,0.0,-3.6357,279,6
2014-08-24,2014-08-28,Second Class,Consumer,United States,New York,East,Furniture,Furnishings,82.5835,2,0.0,156.7237,233,4
2016-12-31,2017-01-04,Second Class,Consumer,United States,Arkansas,South,Office Supplies,Envelopes,59.0873,5,0.2,15.7384,1093,4
2016-01-26,2016-01-30,First Class,Corporate,United States,New York,East,Office Supplies,Binders,152.8762,2,0.0,-35.507,753,4
2015-02-12,2015-02-14,Second Class,Home Office,United States,California,West,Technology,Accessories,48.1328,6,0.0,11.8096,405,2
2015-12-28,2016-01-01,First Class,Consumer,United States,Maryland,East,Furniture,Bookcases,88.6246,4,0.0,26.8861,724,4
2015-03-12,2015-03-16,Standard Class,Corporate,United States,Ohio,East,Office Supplies,Binders,78.086,2,0.0,31.381,433,4
2016-01-18,2016-01-23,Standard Class,Home Office,United States,Pennsylvania,East,Office Supplies,Fasteners,88.9402,5,0.0,35.8746,745,5
2014-11-18,2014-11-23,Standard Class,Corporate,United States,Missouri,Central,Office Supplies,Labels,79.0071,6,0.0,115.8381,319,5
2015-05-01,2015-05-05,Standard Class,Home Office,United States,Kentucky,South,Office Supplies,Binders,78.7309,3,0.8,135.6029,483,4
2015-03-15,2015-03-19,First Class,Corporate,United States,Ohio,East,Technology,Phones,73.6763,5,0.0,84.695,436,4
2016-12-04,2016-12-08,Standard Class,Consumer,United States,California,West,Technology,Accessories,83.4693,4,0.0,161.4918,1066,4
2015-07-17,2015-07-20,Second Class,Consumer,United States,Tennessee,South,Technology,Accessories,40.5928,7,0.0,90.6503,560,3
2015-12-26,2015-12-30,First Class,Consumer,United States,California,West,Office Supplies,Paper,95.4705,2,0.0,30.6901,722,4
